Number;Start time in milliseconds;End time in milliseconds;"Text"
399;7906089;7909089;"Tamal Samanta: yes"
400;7908631;7911631;"bhavesh joshi: Yes"
401;7909847;7912847;"Prithvi Sonar: what to do after clicking configure?"
402;7926162;7929162;"Prithvi Sonar: sorry"
403;8007947;8010947;"Prithvi Sonar: i cant view the field labels menu"
404;8031612;8034612;"Prithvi Sonar: i got it"
405;8033076;8036076;"Prithvi Sonar: thanks"
406;8098724;8101724;"akhil bhalerao: repeat"
407;8101378;8104378;"Manali Gadiya: Repeat pls"
408;8146812;8149812;"Vishesh Waghmare: Select text from fields and drag it"
409;8156684;8159684;"umesh inamdar: so we have to do this for all pages"
410;8166391;8169391;"Vishesh Waghmare: Select subtitle and click on overview"
411;8175939;8178939;"Bhavin Kothari: Plzz repeat again"
412;8188782;8191782;"umesh inamdar: ok"
413;8201988;8204988;"Aditi Naik: Do we submit the page after annotation is done on the 1st one?"
414;8227093;8230093;"Aditi Naik: Okay"
415;8233477;8236477;"Vishesh Waghmare: Bhavin just drag the feild from left like text and select text from document page"
416;8248808;8251808;"Srinevetha A R: 2"
417;8251191;8254191;"Shambhavi Sinha: 3"
418;8254825;8257825;"rupali shivpure: 3"
419;8264892;8267892;"Tejal Wagh: 2"
420;8286922;8289922;"Vishesh Waghmare: You can leave image for now"
421;8299481;8302481;"Abhinandan Padmakar Pandey: repeat"
422;8302850;8305850;"Swarnim Rai: repeat from first page pls"
423;8336902;8339902;"Swarnim Rai: what to do after selecting subtitle?"
424;8367031;8370031;"Swarnim Rai: okay"
425;8376348;8379348;"Mrunalini Misal: yes"
426;8378303;8381303;"rupali shivpure: Yess"
427;8378319;8381319;"Navteg Bhalla: yes"
428;8378366;8381366;"Payal Pagariya: not yet"
429;8385357;8388357;"Prithvi Sonar: we have to annotate only few pages?"
430;8391509;8394509;"Vishesh Waghmare: 5 pages"
431;8392783;8395783;"Tejal Wagh: max. how many initial pages needs to be annotated?"
432;8401097;8404097;"Prithvi Sonar: oh ok"
433;8420106;8423106;"Aditi Naik: Done"
434;8424510;8427510;"Tejal Wagh: oh okay"
435;8431362;8434362;"Vishesh Waghmare: If it has a similar format then it will auto detect"
436;8432497;8435497;"Prithvi Sonar: but we need to submit all pages right?"
437;8443081;8446081;"Vishesh Waghmare: Yes"
438;8447156;8450156;"Prithvi Sonar: ook"
439;8459136;8462136;"Pratik Bathe: footer?"
440;8464889;8467889;"Vishesh Waghmare: Subtitles ❌and text❌"
441;8467986;8470986;"Prithvi Sonar: wait"
442;8481617;8484617;"Prithvi Sonar: where did yougo to turn off these things?"
443;8482130;8485130;"sonal shitole: done"
444;8488300;8491300;"bhavesh joshi: Repeat field part"
445;8507797;8510797;"Prithvi Sonar: just subtitle and footer right?"
446;8520920;8523920;"Tamal Samanta: text not footer"
447;8523787;8526787;"Srinevetha A R: Don't we need footer ?"
448;8534640;8537640;"Prithvi Sonar: ok"
449;8540590;8543590;"Prithvi Sonar: hehe"
450;8541204;8544204;"Vishesh Waghmare: Turn off everything other then subtitles and text"
451;8542474;8545474;"Rutuja Inamke: Repeat please"
452;8581253;8584253;"Vishesh Waghmare: In split select subtitle"
453;8587287;8590287;"Srinevetha A R: Yes"
454;8590001;8593001;"rupali shivpure: Yup"
455;8592511;8595511;"sonal shitole: yes"
456;8593296;8596296;"umesh inamdar: yaa"
457;8593747;8596747;"Manali K: Yeah"
458;8594053;8597053;"Anjali Mudaliar: yup"
459;8594419;8597419;"Aditi Naik: Done"
460;8594663;8597663;"namitaa chandrashekhar: yes"
461;8595198;8598198;"Prithvi Sonar: havent submitted all pages"
462;8598265;8601265;"Rutuja Inamke: What to do after  selecting subtitles and text"
463;8608246;8611246;"Abhinandan Padmakar Pandey: on kya krna h"
464;8614219;8617219;"Bhavin Kothari: Done"
465;8618648;8621648;"Sayali Phule: Done"
466;8638528;8641528;"Vishesh Waghmare: Of krna h sbko bs subtitles or text ko chodhke abhinandan"
467;8671952;8674952;"Prithvi Sonar: wait"
468;8673202;8676202;"Anjali Mudaliar: yup"
469;8675020;8678020;"Tamal Samanta: yes"
470;8675349;8678349;"sonal shitole: yes"
471;8676283;8679283;"AKALBIR SINGH CHADHA: Yes"
472;8676956;8679956;"rohini rao: yes"
473;8678030;8681030;"Manali K: Yes"
474;8681639;8684639;"rupali shivpure: Yes go on"
475;8683565;8686565;"Khushi Dhake: Yes"
476;8685497;8688497;"Aditi Naik: Where is the option? To upload doc?"
477;8696629;8699629;"damayanti chavan: some error occured can you pls reapeat help me where to upload"
478;8707099;8710099;"Aditi Naik: Oh okay"
479;8717287;8720287;"Abhinandan Padmakar Pandey: not showing option"
480;8717942;8720942;"Vishesh Waghmare: On right of you click apply changes you'll get this automatically"
481;8718855;8721855;"Manali Gadiya: Pdf file to b uploaded?"
482;8759365;8762365;"Shambhavi Sinha: yupp"
483;8805721;8808721;"Tamal Samanta: yeah"
484;8805865;8808865;"Pruthvi Inamke: Yes"
485;8806512;8809512;"Anjali Mudaliar: yup"
486;8808827;8811827;"Aditi Naik: Yes"
487;8810190;8813190;"Sahej Chandok: yes"
488;8812101;8815101;"Payal Pagariya: yes"
489;8813410;8816410;"Sayali Phule: Yes"
490;8816392;8819392;"Tejal Wagh: yes"
491;8842916;8845916;"Prithvi Sonar: what did you do after uploading again?"
492;8858463;8861463;"Aishwarya Beedkar: can you repeat buffering part i.e. last step"
493;8866606;8869606;"Prithvi Sonar: yeah"
494;8887241;8890241;"Aishwarya Beedkar: yes"
495;8895178;8898178;"Vishesh Waghmare: Dashboard- services - Watson assistant- select the assistant you created"
496;8895607;8898607;"Prithvi Sonar: on my screen nothing is buffering"
497;8915569;8918569;"Tamal Samanta: It identified only 1 field"
